
2022-05-09  23.27.34    BenchmarkSAR    bin = 15    fee = 0.0015 - 0.003    2022-03-16 ~  (54) days

9654 loaded. (54 days)
0.001000 / 0.001000 / 0.010000 	 t = 0.0000 / 0.0100 	 c = 41 / 8 / 33 / 0.2424 	 h = -0.0101 / 0.1325 	 p = 0.07 	 avg = 0.00 	 % = 1.1117 / +11.1686
0.001000 / 0.001000 / 0.020000 	 t = 0.0000 / 0.0100 	 c = 49 / 9 / 40 / 0.2250 	 h = -0.0101 / 0.1457 	 p = 0.03 	 avg = 0.00 	 % = 1.0966 / +9.6575
0.001000 / 0.001000 / 0.025000 	 t = 0.0000 / 0.0100 	 c = 49 / 10 / 39 / 0.2564 	 h = -0.0101 / 0.1526 	 p = 0.05 	 avg = 0.00 	 % = 1.1281 / +12.8064
0.001000 / 0.001000 / 0.030000 	 t = 0.0000 / 0.0100 	 c = 49 / 10 / 39 / 0.2564 	 h = -0.0101 / 0.1542 	 p = 0.05 	 avg = 0.00 	 % = 1.1324 / +13.2363
0.001000 / 0.001000 / 0.035000 	 t = 0.0000 / 0.0100 	 c = 49 / 10 / 39 / 0.2564 	 h = -0.0101 / 0.1542 	 p = 0.05 	 avg = 0.00 	 % = 1.1324 / +13.2363
0.001000 / 0.001000 / 0.040000 	 t = 0.0000 / 0.0100 	 c = 49 / 10 / 39 / 0.2564 	 h = -0.0101 / 0.1542 	 p = 0.05 	 avg = 0.00 	 % = 1.1324 / +13.2363
0.001000 / 0.001000 / 0.045000 	 t = 0.0000 / 0.0100 	 c = 49 / 10 / 39 / 0.2564 	 h = -0.0101 / 0.1542 	 p = 0.05 	 avg = 0.00 	 % = 1.1324 / +13.2363
0.001000 / 0.001000 / 0.050000 	 t = 0.0000 / 0.0100 	 c = 49 / 10 / 39 / 0.2564 	 h = -0.0101 / 0.1542 	 p = 0.05 	 avg = 0.00 	 % = 1.1324 / +13.2363
0.001000 / 0.001000 / 0.055000 	 t = 0.0000 / 0.0100 	 c = 49 / 10 / 39 / 0.2564 	 h = -0.0101 / 0.1542 	 p = 0.05 	 avg = 0.00 	 % = 1.1324 / +13.2363
0.001000 / 0.001000 / 0.060000 	 t = 0.0000 / 0.0100 	 c = 49 / 10 / 39 / 0.2564 	 h = -0.0101 / 0.1542 	 p = 0.05 	 avg = 0.00 	 % = 1.1324 / +13.2363
0.001000 / 0.001000 / 0.065000 	 t = 0.0000 / 0.0100 	 c = 49 / 10 / 39 / 0.2564 	 h = -0.0101 / 0.1542 	 p = 0.05 	 avg = 0.00 	 % = 1.1324 / +13.2363
0.001000 / 0.001000 / 0.070000 	 t = 0.0000 / 0.0100 	 c = 49 / 10 / 39 / 0.2564 	 h = -0.0101 / 0.1542 	 p = 0.05 	 avg = 0.00 	 % = 1.1324 / +13.2363
0.001000 / 0.001000 / 0.075000 	 t = 0.0000 / 0.0100 	 c = 49 / 10 / 39 / 0.2564 	 h = -0.0101 / 0.1542 	 p = 0.05 	 avg = 0.00 	 % = 1.1324 / +13.2363
0.001000 / 0.001000 / 0.080000 	 t = 0.0000 / 0.0100 	 c = 49 / 10 / 39 / 0.2564 	 h = -0.0101 / 0.1542 	 p = 0.05 	 avg = 0.00 	 % = 1.1324 / +13.2363
0.001000 / 0.001000 / 0.085000 	 t = 0.0000 / 0.0100 	 c = 49 / 10 / 39 / 0.2564 	 h = -0.0101 / 0.1542 	 p = 0.05 	 avg = 0.00 	 % = 1.1324 / +13.2363
0.001000 / 0.001000 / 0.090000 	 t = 0.0000 / 0.0100 	 c = 49 / 10 / 39 / 0.2564 	 h = -0.0101 / 0.1542 	 p = 0.05 	 avg = 0.00 	 % = 1.1324 / +13.2363
0.001000 / 0.001000 / 0.095000 	 t = 0.0000 / 0.0100 	 c = 49 / 10 / 39 / 0.2564 	 h = -0.0101 / 0.1542 	 p = 0.05 	 avg = 0.00 	 % = 1.1324 / +13.2363
0.001000 / 0.001000 / 0.100000 	 t = 0.0000 / 0.0100 	 c = 49 / 10 / 39 / 0.2564 	 h = -0.0101 / 0.1542 	 p = 0.05 	 avg = 0.00 	 % = 1.1324 / +13.2363
0.001000 / 0.001000 / 0.105000 	 t = 0.0000 / 0.0100 	 c = 49 / 10 / 39 / 0.2564 	 h = -0.0101 / 0.1542 	 p = 0.05 	 avg = 0.00 	 % = 1.1324 / +13.2363
0.001000 / 0.001000 / 0.110000 	 t = 0.0000 / 0.0100 	 c = 49 / 10 / 39 / 0.2564 	 h = -0.0101 / 0.1542 	 p = 0.05 	 avg = 0.00 	 % = 1.1324 / +13.2363
0.001000 / 0.001000 / 0.115000 	 t = 0.0000 / 0.0100 	 c = 49 / 10 / 39 / 0.2564 	 h = -0.0101 / 0.1542 	 p = 0.05 	 avg = 0.00 	 % = 1.1324 / +13.2363
0.001000 / 0.001000 / 0.120000 	 t = 0.0000 / 0.0100 	 c = 49 / 10 / 39 / 0.2564 	 h = -0.0101 / 0.1542 	 p = 0.05 	 avg = 0.00 	 % = 1.1324 / +13.2363
0.001000 / 0.001000 / 0.125000 	 t = 0.0000 / 0.0100 	 c = 49 / 10 / 39 / 0.2564 	 h = -0.0101 / 0.1542 	 p = 0.05 	 avg = 0.00 	 % = 1.1324 / +13.2363
0.001000 / 0.001000 / 0.130000 	 t = 0.0000 / 0.0100 	 c = 49 / 10 / 39 / 0.2564 	 h = -0.0101 / 0.1542 	 p = 0.05 	 avg = 0.00 	 % = 1.1324 / +13.2363
0.001000 / 0.001000 / 0.135000 	 t = 0.0000 / 0.0100 	 c = 49 / 10 / 39 / 0.2564 	 h = -0.0101 / 0.1542 	 p = 0.05 	 avg = 0.00 	 % = 1.1324 / +13.2363
0.001000 / 0.001000 / 0.140000 	 t = 0.0000 / 0.0100 	 c = 49 / 10 / 39 / 0.2564 	 h = -0.0101 / 0.1542 	 p = 0.05 	 avg = 0.00 	 % = 1.1324 / +13.2363
0.001000 / 0.001000 / 0.145000 	 t = 0.0000 / 0.0100 	 c = 49 / 10 / 39 / 0.2564 	 h = -0.0101 / 0.1542 	 p = 0.05 	 avg = 0.00 	 % = 1.1324 / +13.2363
