
2022-05-09  23.15.37    BenchmarkSAR    bin = 15    fee = 0.0015 - 0.003    2022-03-16 ~  (54) days

9654 loaded. (54 days)
0.001000 / 0.001000 / 0.010000 	 t = 0.0000 / 0.0100 	 c = 41 / 8 / 33 / 0.2424 	 h = -0.0101 / 0.1325 	 p = 0.07 	 avg = 0.00 	 % = 1.1117 / +11.1686
0.001000 / 0.001000 / 0.150000 	 t = 0.0000 / 0.0100 	 c = 49 / 10 / 39 / 0.2564 	 h = -0.0101 / 0.1542 	 p = 0.05 	 avg = 0.00 	 % = 1.1324 / +13.2363
0.001000 / 0.001000 / 0.155000 	 t = 0.0000 / 0.0100 	 c = 49 / 10 / 39 / 0.2564 	 h = -0.0101 / 0.1542 	 p = 0.05 	 avg = 0.00 	 % = 1.1324 / +13.2363
0.001000 / 0.001000 / 0.160000 	 t = 0.0000 / 0.0100 	 c = 49 / 10 / 39 / 0.2564 	 h = -0.0101 / 0.1542 	 p = 0.05 	 avg = 0.00 	 % = 1.1324 / +13.2363
0.001000 / 0.001000 / 0.165000 	 t = 0.0000 / 0.0100 	 c = 49 / 10 / 39 / 0.2564 	 h = -0.0101 / 0.1542 	 p = 0.05 	 avg = 0.00 	 % = 1.1324 / +13.2363
0.001000 / 0.001000 / 0.170000 	 t = 0.0000 / 0.0100 	 c = 49 / 10 / 39 / 0.2564 	 h = -0.0101 / 0.1542 	 p = 0.05 	 avg = 0.00 	 % = 1.1324 / +13.2363
0.001000 / 0.001000 / 0.175000 	 t = 0.0000 / 0.0100 	 c = 49 / 10 / 39 / 0.2564 	 h = -0.0101 / 0.1542 	 p = 0.05 	 avg = 0.00 	 % = 1.1324 / +13.2363
0.001000 / 0.001000 / 0.180000 	 t = 0.0000 / 0.0100 	 c = 49 / 10 / 39 / 0.2564 	 h = -0.0101 / 0.1542 	 p = 0.05 	 avg = 0.00 	 % = 1.1324 / +13.2363
0.001000 / 0.001000 / 0.185000 	 t = 0.0000 / 0.0100 	 c = 49 / 10 / 39 / 0.2564 	 h = -0.0101 / 0.1542 	 p = 0.05 	 avg = 0.00 	 % = 1.1324 / +13.2363
0.001000 / 0.001000 / 0.190000 	 t = 0.0000 / 0.0100 	 c = 49 / 10 / 39 / 0.2564 	 h = -0.0101 / 0.1542 	 p = 0.05 	 avg = 0.00 	 % = 1.1324 / +13.2363
0.001000 / 0.001000 / 0.195000 	 t = 0.0000 / 0.0100 	 c = 49 / 10 / 39 / 0.2564 	 h = -0.0101 / 0.1542 	 p = 0.05 	 avg = 0.00 	 % = 1.1324 / +13.2363
0.001000 / 0.001000 / 0.200000 	 t = 0.0000 / 0.0100 	 c = 49 / 10 / 39 / 0.2564 	 h = -0.0101 / 0.1542 	 p = 0.05 	 avg = 0.00 	 % = 1.1324 / +13.2363
0.002500 / 0.002500 / 0.030000 	 t = 0.0000 / 0.0100 	 c = 99 / 23 / 76 / 0.3026 	 h = -0.0101 / 0.1554 	 p = 0.02 	 avg = 0.00 	 % = 1.0912 / +9.1233
0.002500 / 0.002500 / 0.040000 	 t = 0.0000 / 0.0100 	 c = 101 / 26 / 75 / 0.3467 	 h = -0.0101 / 0.1667 	 p = 0.02 	 avg = 0.00 	 % = 1.1036 / +10.3583
0.002500 / 0.002500 / 0.045000 	 t = 0.0000 / 0.0100 	 c = 101 / 26 / 75 / 0.3467 	 h = -0.0101 / 0.1667 	 p = 0.02 	 avg = 0.00 	 % = 1.1081 / +10.8124
0.002500 / 0.002500 / 0.050000 	 t = 0.0000 / 0.0100 	 c = 101 / 26 / 75 / 0.3467 	 h = -0.0101 / 0.1667 	 p = 0.02 	 avg = 0.00 	 % = 1.1082 / +10.8224
0.002500 / 0.002500 / 0.055000 	 t = 0.0000 / 0.0100 	 c = 101 / 26 / 75 / 0.3467 	 h = -0.0101 / 0.1667 	 p = 0.02 	 avg = 0.00 	 % = 1.1082 / +10.8224
0.002500 / 0.002500 / 0.060000 	 t = 0.0000 / 0.0100 	 c = 101 / 26 / 75 / 0.3467 	 h = -0.0101 / 0.1667 	 p = 0.02 	 avg = 0.00 	 % = 1.1082 / +10.8224
0.002500 / 0.002500 / 0.065000 	 t = 0.0000 / 0.0100 	 c = 101 / 26 / 75 / 0.3467 	 h = -0.0101 / 0.1667 	 p = 0.02 	 avg = 0.00 	 % = 1.1082 / +10.8224
0.002500 / 0.002500 / 0.070000 	 t = 0.0000 / 0.0100 	 c = 101 / 26 / 75 / 0.3467 	 h = -0.0101 / 0.1667 	 p = 0.02 	 avg = 0.00 	 % = 1.1082 / +10.8224
0.002500 / 0.002500 / 0.075000 	 t = 0.0000 / 0.0100 	 c = 101 / 26 / 75 / 0.3467 	 h = -0.0101 / 0.1667 	 p = 0.02 	 avg = 0.00 	 % = 1.1082 / +10.8224
0.002500 / 0.002500 / 0.080000 	 t = 0.0000 / 0.0100 	 c = 101 / 26 / 75 / 0.3467 	 h = -0.0101 / 0.1667 	 p = 0.02 	 avg = 0.00 	 % = 1.1082 / +10.8224
0.002500 / 0.002500 / 0.085000 	 t = 0.0000 / 0.0100 	 c = 101 / 26 / 75 / 0.3467 	 h = -0.0101 / 0.1667 	 p = 0.02 	 avg = 0.00 	 % = 1.1082 / +10.8224
0.002500 / 0.002500 / 0.090000 	 t = 0.0000 / 0.0100 	 c = 101 / 26 / 75 / 0.3467 	 h = -0.0101 / 0.1667 	 p = 0.02 	 avg = 0.00 	 % = 1.1082 / +10.8224
0.002500 / 0.002500 / 0.095000 	 t = 0.0000 / 0.0100 	 c = 101 / 26 / 75 / 0.3467 	 h = -0.0101 / 0.1667 	 p = 0.02 	 avg = 0.00 	 % = 1.1082 / +10.8224
0.002500 / 0.002500 / 0.100000 	 t = 0.0000 / 0.0100 	 c = 101 / 26 / 75 / 0.3467 	 h = -0.0101 / 0.1667 	 p = 0.02 	 avg = 0.00 	 % = 1.1082 / +10.8224
0.002500 / 0.002500 / 0.105000 	 t = 0.0000 / 0.0100 	 c = 101 / 26 / 75 / 0.3467 	 h = -0.0101 / 0.1667 	 p = 0.02 	 avg = 0.00 	 % = 1.1082 / +10.8224
0.002500 / 0.002500 / 0.110000 	 t = 0.0000 / 0.0100 	 c = 101 / 26 / 75 / 0.3467 	 h = -0.0101 / 0.1667 	 p = 0.02 	 avg = 0.00 	 % = 1.1082 / +10.8224
0.002500 / 0.002500 / 0.115000 	 t = 0.0000 / 0.0100 	 c = 101 / 26 / 75 / 0.3467 	 h = -0.0101 / 0.1667 	 p = 0.02 	 avg = 0.00 	 % = 1.1082 / +10.8224
0.002500 / 0.002500 / 0.120000 	 t = 0.0000 / 0.0100 	 c = 101 / 26 / 75 / 0.3467 	 h = -0.0101 / 0.1667 	 p = 0.02 	 avg = 0.00 	 % = 1.1082 / +10.8224
0.002500 / 0.002500 / 0.125000 	 t = 0.0000 / 0.0100 	 c = 101 / 26 / 75 / 0.3467 	 h = -0.0101 / 0.1667 	 p = 0.02 	 avg = 0.00 	 % = 1.1082 / +10.8224
0.002500 / 0.002500 / 0.130000 	 t = 0.0000 / 0.0100 	 c = 101 / 26 / 75 / 0.3467 	 h = -0.0101 / 0.1667 	 p = 0.02 	 avg = 0.00 	 % = 1.1082 / +10.8224
0.002500 / 0.002500 / 0.135000 	 t = 0.0000 / 0.0100 	 c = 101 / 26 / 75 / 0.3467 	 h = -0.0101 / 0.1667 	 p = 0.02 	 avg = 0.00 	 % = 1.1082 / +10.8224
0.002500 / 0.002500 / 0.140000 	 t = 0.0000 / 0.0100 	 c = 101 / 26 / 75 / 0.3467 	 h = -0.0101 / 0.1667 	 p = 0.02 	 avg = 0.00 	 % = 1.1082 / +10.8224
0.002500 / 0.002500 / 0.145000 	 t = 0.0000 / 0.0100 	 c = 101 / 26 / 75 / 0.3467 	 h = -0.0101 / 0.1667 	 p = 0.02 	 avg = 0.00 	 % = 1.1082 / +10.8224
0.002500 / 0.002500 / 0.150000 	 t = 0.0000 / 0.0100 	 c = 101 / 26 / 75 / 0.3467 	 h = -0.0101 / 0.1667 	 p = 0.02 	 avg = 0.00 	 % = 1.1082 / +10.8224
0.002500 / 0.002500 / 0.155000 	 t = 0.0000 / 0.0100 	 c = 101 / 26 / 75 / 0.3467 	 h = -0.0101 / 0.1667 	 p = 0.02 	 avg = 0.00 	 % = 1.1082 / +10.8224
0.002500 / 0.002500 / 0.160000 	 t = 0.0000 / 0.0100 	 c = 101 / 26 / 75 / 0.3467 	 h = -0.0101 / 0.1667 	 p = 0.02 	 avg = 0.00 	 % = 1.1082 / +10.8224
0.002500 / 0.002500 / 0.165000 	 t = 0.0000 / 0.0100 	 c = 101 / 26 / 75 / 0.3467 	 h = -0.0101 / 0.1667 	 p = 0.02 	 avg = 0.00 	 % = 1.1082 / +10.8224
0.002500 / 0.002500 / 0.170000 	 t = 0.0000 / 0.0100 	 c = 101 / 26 / 75 / 0.3467 	 h = -0.0101 / 0.1667 	 p = 0.02 	 avg = 0.00 	 % = 1.1082 / +10.8224
0.002500 / 0.002500 / 0.175000 	 t = 0.0000 / 0.0100 	 c = 101 / 26 / 75 / 0.3467 	 h = -0.0101 / 0.1667 	 p = 0.02 	 avg = 0.00 	 % = 1.1082 / +10.8224
0.002500 / 0.002500 / 0.180000 	 t = 0.0000 / 0.0100 	 c = 101 / 26 / 75 / 0.3467 	 h = -0.0101 / 0.1667 	 p = 0.02 	 avg = 0.00 	 % = 1.1082 / +10.8224
0.002500 / 0.002500 / 0.185000 	 t = 0.0000 / 0.0100 	 c = 101 / 26 / 75 / 0.3467 	 h = -0.0101 / 0.1667 	 p = 0.02 	 avg = 0.00 	 % = 1.1082 / +10.8224
0.002500 / 0.002500 / 0.190000 	 t = 0.0000 / 0.0100 	 c = 101 / 26 / 75 / 0.3467 	 h = -0.0101 / 0.1667 	 p = 0.02 	 avg = 0.00 	 % = 1.1082 / +10.8224
0.002500 / 0.002500 / 0.195000 	 t = 0.0000 / 0.0100 	 c = 101 / 26 / 75 / 0.3467 	 h = -0.0101 / 0.1667 	 p = 0.02 	 avg = 0.00 	 % = 1.1082 / +10.8224
0.002500 / 0.002500 / 0.200000 	 t = 0.0000 / 0.0100 	 c = 101 / 26 / 75 / 0.3467 	 h = -0.0101 / 0.1667 	 p = 0.02 	 avg = 0.00 	 % = 1.1082 / +10.8224
0.004500 / 0.004500 / 0.075000 	 t = 0.0000 / 0.0100 	 c = 139 / 41 / 98 / 0.4184 	 h = -0.0101 / 0.1830 	 p = 0.01 	 avg = 0.00 	 % = 1.0543 / +5.4347
0.004500 / 0.004500 / 0.080000 	 t = 0.0000 / 0.0100 	 c = 139 / 41 / 98 / 0.4184 	 h = -0.0101 / 0.1830 	 p = 0.01 	 avg = 0.00 	 % = 1.0644 / +6.4351
0.004500 / 0.004500 / 0.085000 	 t = 0.0000 / 0.0100 	 c = 139 / 41 / 98 / 0.4184 	 h = -0.0101 / 0.1830 	 p = 0.02 	 avg = 0.00 	 % = 1.0653 / +6.5277
0.004500 / 0.004500 / 0.090000 	 t = 0.0000 / 0.0100 	 c = 139 / 42 / 97 / 0.4330 	 h = -0.0101 / 0.1830 	 p = 0.03 	 avg = 0.00 	 % = 1.0785 / +7.8544
0.004500 / 0.004500 / 0.095000 	 t = 0.0000 / 0.0100 	 c = 139 / 42 / 97 / 0.4330 	 h = -0.0101 / 0.1830 	 p = 0.03 	 avg = 0.00 	 % = 1.0801 / +8.0052
0.004500 / 0.004500 / 0.100000 	 t = 0.0000 / 0.0100 	 c = 139 / 42 / 97 / 0.4330 	 h = -0.0101 / 0.1830 	 p = 0.03 	 avg = 0.00 	 % = 1.0814 / +8.1422
0.004500 / 0.004500 / 0.105000 	 t = 0.0000 / 0.0100 	 c = 139 / 42 / 97 / 0.4330 	 h = -0.0101 / 0.1830 	 p = 0.03 	 avg = 0.00 	 % = 1.0824 / +8.2380
0.004500 / 0.004500 / 0.110000 	 t = 0.0000 / 0.0100 	 c = 139 / 42 / 97 / 0.4330 	 h = -0.0101 / 0.1830 	 p = 0.03 	 avg = 0.00 	 % = 1.0827 / +8.2655
0.004500 / 0.004500 / 0.115000 	 t = 0.0000 / 0.0100 	 c = 139 / 42 / 97 / 0.4330 	 h = -0.0101 / 0.1830 	 p = 0.03 	 avg = 0.00 	 % = 1.0827 / +8.2655
0.004500 / 0.004500 / 0.120000 	 t = 0.0000 / 0.0100 	 c = 139 / 42 / 97 / 0.4330 	 h = -0.0101 / 0.1830 	 p = 0.03 	 avg = 0.00 	 % = 1.0827 / +8.2655
0.004500 / 0.004500 / 0.125000 	 t = 0.0000 / 0.0100 	 c = 139 / 42 / 97 / 0.4330 	 h = -0.0101 / 0.1830 	 p = 0.03 	 avg = 0.00 	 % = 1.0827 / +8.2655
0.004500 / 0.004500 / 0.130000 	 t = 0.0000 / 0.0100 	 c = 139 / 42 / 97 / 0.4330 	 h = -0.0101 / 0.1830 	 p = 0.03 	 avg = 0.00 	 % = 1.0827 / +8.2655
0.004500 / 0.004500 / 0.135000 	 t = 0.0000 / 0.0100 	 c = 139 / 42 / 97 / 0.4330 	 h = -0.0101 / 0.1830 	 p = 0.03 	 avg = 0.00 	 % = 1.0827 / +8.2655
0.004500 / 0.004500 / 0.140000 	 t = 0.0000 / 0.0100 	 c = 139 / 42 / 97 / 0.4330 	 h = -0.0101 / 0.1830 	 p = 0.03 	 avg = 0.00 	 % = 1.0827 / +8.2655
0.004500 / 0.004500 / 0.145000 	 t = 0.0000 / 0.0100 	 c = 139 / 42 / 97 / 0.4330 	 h = -0.0101 / 0.1830 	 p = 0.03 	 avg = 0.00 	 % = 1.0827 / +8.2655
0.004500 / 0.004500 / 0.150000 	 t = 0.0000 / 0.0100 	 c = 139 / 42 / 97 / 0.4330 	 h = -0.0101 / 0.1830 	 p = 0.03 	 avg = 0.00 	 % = 1.0827 / +8.2655
0.004500 / 0.004500 / 0.155000 	 t = 0.0000 / 0.0100 	 c = 139 / 42 / 97 / 0.4330 	 h = -0.0101 / 0.1830 	 p = 0.03 	 avg = 0.00 	 % = 1.0827 / +8.2655
0.004500 / 0.004500 / 0.160000 	 t = 0.0000 / 0.0100 	 c = 139 / 42 / 97 / 0.4330 	 h = -0.0101 / 0.1830 	 p = 0.03 	 avg = 0.00 	 % = 1.0827 / +8.2655
0.004500 / 0.004500 / 0.165000 	 t = 0.0000 / 0.0100 	 c = 139 / 42 / 97 / 0.4330 	 h = -0.0101 / 0.1830 	 p = 0.03 	 avg = 0.00 	 % = 1.0827 / +8.2655
0.004500 / 0.004500 / 0.170000 	 t = 0.0000 / 0.0100 	 c = 139 / 42 / 97 / 0.4330 	 h = -0.0101 / 0.1830 	 p = 0.03 	 avg = 0.00 	 % = 1.0827 / +8.2655
0.004500 / 0.004500 / 0.175000 	 t = 0.0000 / 0.0100 	 c = 139 / 42 / 97 / 0.4330 	 h = -0.0101 / 0.1830 	 p = 0.03 	 avg = 0.00 	 % = 1.0827 / +8.2655
0.004500 / 0.004500 / 0.180000 	 t = 0.0000 / 0.0100 	 c = 139 / 42 / 97 / 0.4330 	 h = -0.0101 / 0.1830 	 p = 0.03 	 avg = 0.00 	 % = 1.0827 / +8.2655
0.004500 / 0.004500 / 0.185000 	 t = 0.0000 / 0.0100 	 c = 139 / 42 / 97 / 0.4330 	 h = -0.0101 / 0.1830 	 p = 0.03 	 avg = 0.00 	 % = 1.0827 / +8.2655
0.004500 / 0.004500 / 0.190000 	 t = 0.0000 / 0.0100 	 c = 139 / 42 / 97 / 0.4330 	 h = -0.0101 / 0.1830 	 p = 0.03 	 avg = 0.00 	 % = 1.0827 / +8.2655
0.004500 / 0.004500 / 0.195000 	 t = 0.0000 / 0.0100 	 c = 139 / 42 / 97 / 0.4330 	 h = -0.0101 / 0.1830 	 p = 0.03 	 avg = 0.00 	 % = 1.0827 / +8.2655
0.004500 / 0.004500 / 0.200000 	 t = 0.0000 / 0.0100 	 c = 139 / 42 / 97 / 0.4330 	 h = -0.0101 / 0.1830 	 p = 0.03 	 avg = 0.00 	 % = 1.0827 / +8.2655
0.005000 / 0.005000 / 0.045000 	 t = 0.0000 / 0.0100 	 c = 153 / 51 / 102 / 0.5000 	 h = -0.0101 / 0.1678 	 p = 0.02 	 avg = 0.00 	 % = 1.0857 / +8.5683
0.005500 / 0.005500 / 0.035000 	 t = 0.0000 / 0.0100 	 c = 147 / 49 / 98 / 0.5000 	 h = -0.0101 / 0.1644 	 p = 0.02 	 avg = 0.00 	 % = 1.0600 / +5.9991
0.005500 / 0.005500 / 0.040000 	 t = 0.0000 / 0.0100 	 c = 151 / 54 / 97 / 0.5567 	 h = -0.0101 / 0.1692 	 p = 0.05 	 avg = 0.00 	 % = 1.1209 / +12.0934
0.006000 / 0.006000 / 0.035000 	 t = 0.0000 / 0.0100 	 c = 151 / 52 / 99 / 0.5253 	 h = -0.0101 / 0.1656 	 p = 0.05 	 avg = 0.00 	 % = 1.1147 / +11.4747
0.006000 / 0.006000 / 0.040000 	 t = 0.0000 / 0.0100 	 c = 157 / 53 / 104 / 0.5096 	 h = -0.0101 / 0.1694 	 p = 0.03 	 avg = 0.00 	 % = 1.0906 / +9.0642
0.007000 / 0.007000 / 0.030000 	 t = 0.0000 / 0.0100 	 c = 150 / 55 / 95 / 0.5789 	 h = -0.0101 / 0.1690 	 p = 0.06 	 avg = 0.00 	 % = 1.1525 / +15.2484
0.007500 / 0.007500 / 0.030000 	 t = 0.0000 / 0.0100 	 c = 154 / 54 / 100 / 0.5400 	 h = -0.0101 / 0.1709 	 p = 0.04 	 avg = 0.00 	 % = 1.1115 / +11.1483
0.008000 / 0.008000 / 0.030000 	 t = 0.0000 / 0.0100 	 c = 154 / 54 / 100 / 0.5400 	 h = -0.0101 / 0.1712 	 p = 0.06 	 avg = 0.00 	 % = 1.1372 / +13.7241
0.008500 / 0.008500 / 0.030000 	 t = 0.0000 / 0.0100 	 c = 156 / 55 / 101 / 0.5446 	 h = -0.0101 / 0.1714 	 p = 0.05 	 avg = 0.00 	 % = 1.1386 / +13.8560
0.009500 / 0.009500 / 0.030000 	 t = 0.0000 / 0.0100 	 c = 160 / 56 / 104 / 0.5385 	 h = -0.0101 / 0.1722 	 p = 0.07 	 avg = 0.00 	 % = 1.1415 / +14.1481
0.010000 / 0.010000 / 0.030000 	 t = 0.0000 / 0.0100 	 c = 162 / 56 / 106 / 0.5283 	 h = -0.0101 / 0.1726 	 p = 0.07 	 avg = 0.00 	 % = 1.1308 / +13.0781
0.010500 / 0.010500 / 0.030000 	 t = 0.0000 / 0.0100 	 c = 169 / 57 / 112 / 0.5089 	 h = -0.0101 / 0.1726 	 p = 0.00 	 avg = 0.00 	 % = 1.0530 / +5.2994
0.011000 / 0.011000 / 0.030000 	 t = 0.0000 / 0.0100 	 c = 171 / 59 / 112 / 0.5268 	 h = -0.0101 / 0.1726 	 p = 0.06 	 avg = 0.00 	 % = 1.1232 / +12.3164
0.011500 / 0.011500 / 0.030000 	 t = 0.0000 / 0.0100 	 c = 171 / 59 / 112 / 0.5268 	 h = -0.0101 / 0.1728 	 p = 0.07 	 avg = 0.00 	 % = 1.1374 / +13.7410
0.012000 / 0.012000 / 0.030000 	 t = 0.0000 / 0.0100 	 c = 173 / 60 / 113 / 0.5310 	 h = -0.0101 / 0.1728 	 p = 0.09 	 avg = 0.00 	 % = 1.1768 / +17.6846
0.012500 / 0.012500 / 0.030000 	 t = 0.0000 / 0.0100 	 c = 173 / 61 / 112 / 0.5446 	 h = -0.0101 / 0.1728 	 p = 0.11 	 avg = 0.00 	 % = 1.2108 / +21.0835
0.013000 / 0.013000 / 0.030000 	 t = 0.0000 / 0.0100 	 c = 174 / 60 / 114 / 0.5263 	 h = -0.0101 / 0.1728 	 p = 0.05 	 avg = 0.00 	 % = 1.1390 / +13.8962
0.013500 / 0.013500 / 0.040000 	 t = 0.0000 / 0.0100 	 c = 206 / 76 / 130 / 0.5846 	 h = -0.0101 / 0.1712 	 p = 0.01 	 avg = 0.00 	 % = 1.0839 / +8.3945
0.014000 / 0.014000 / 0.030000 	 t = 0.0000 / 0.0100 	 c = 178 / 58 / 120 / 0.4833 	 h = -0.0101 / 0.1730 	 p = 0.00 	 avg = 0.00 	 % = 1.0686 / +6.8562
0.015000 / 0.015000 / 0.030000 	 t = 0.0000 / 0.0100 	 c = 180 / 59 / 121 / 0.4876 	 h = -0.0101 / 0.1730 	 p = 0.01 	 avg = 0.00 	 % = 1.0791 / +7.9066
0.004500 / 0.004500 / 0.060000 	 t = 0.0000 / 0.0150 	 c = 137 / 47 / 90 / 0.5222 	 h = -0.0152 / 0.1822 	 p = 0.01 	 avg = 0.00 	 % = 1.0623 / +4.1539
0.004500 / 0.004500 / 0.070000 	 t = 0.0000 / 0.0150 	 c = 139 / 48 / 91 / 0.5275 	 h = -0.0152 / 0.1830 	 p = 0.00 	 avg = 0.00 	 % = 1.0548 / +3.6541
0.004500 / 0.004500 / 0.075000 	 t = 0.0000 / 0.0150 	 c = 139 / 48 / 91 / 0.5275 	 h = -0.0152 / 0.1830 	 p = 0.01 	 avg = 0.00 	 % = 1.0619 / +4.1257
0.004500 / 0.004500 / 0.080000 	 t = 0.0000 / 0.0150 	 c = 139 / 49 / 90 / 0.5444 	 h = -0.0152 / 0.1830 	 p = 0.03 	 avg = 0.00 	 % = 1.0876 / +5.8373
0.004500 / 0.004500 / 0.085000 	 t = 0.0000 / 0.0150 	 c = 139 / 49 / 90 / 0.5444 	 h = -0.0152 / 0.1830 	 p = 0.03 	 avg = 0.00 	 % = 1.0892 / +5.9498
